level_0,index,pmid,doi,author,publicationyear,population,totalsamplesize,sex,durationofstudy,noofMALES,noofFEMALES,meanBMI,meanDBP,lowerboundBMI,upperboundBMI,lowerboundDBP,upperboundDBP,meanDBP_sd,meanBMI_sd,intervention_control,extracted_portion,lname,Author_pmid
0,0,0,21893621,10.7326/0003-4819-155-5-201109060-00005, Torgeir T. Søvik,2011,Mixed,60.0,Both,0.0,8.0,23.0,54.8,82.6,48.4496,61.1504,59.471999999999994,105.728,11.8,3.24,intervention,GB,Søvik,Søvik_21893621
1,1,1,21893621,10.7326/0003-4819-155-5-201109060-00005, Torgeir T. Søvik,2011,Mixed,60.0,Both,0.0,10.0,19.0,55.2,88.3,48.3596,62.040400000000005,63.016,113.584,12.9,3.49,control,DS,Søvik,Søvik_21893621
2,2,2,20587720, 10.2337/dc09-1833,Miguel F Herrera,2010,EUR,24.0,Both,0.0,3.0,8.0,44.9,85.5,38.824,50.976,70.016,100.984,7.9,3.1,control,LRYGB_Omentectomy,Herrera,Herrera_20587720
3,3,3,20587720, 10.2337/dc09-1833,Miguel F Herrera,2010,EUR,24.0,Both,0.0,1.0,10.0,44.5,89.0,36.072,52.928,81.356,96.644,3.9,4.3,intervention,LRYGB,Herrera,Herrera_20587720
4,4,4,33963974,10.1007/s11695-021-05454-2,Oral Ospanov,2021,East Asian,60.0,Both,0.0,7.0,13.0,36.51,92.95,0.0,0.0,86.59960000000001,99.3004,3.24,0.0,control,HDER,Ospanov,Ospanov_33963974_a
5,5,4,33963974,10.1007/s11695-021-05454-2,Oral Ospanov,2021,East Asian,60.0,Both,0.0,7.0,13.0,36.51,92.95,0.0,0.0,86.59960000000001,99.3004,3.24,0.0,control,HDER,Ospanov,Ospanov_33963974_b
6,6,5,33963974,10.1007/s11695-021-05454-2,Oral Ospanov,2021,East Asian,60.0,Both,0.0,2.0,18.0,39.88,92.25,0.0,0.0,84.4688,100.0312,3.97,0.0,intervention,LOAGB-OSPAN,Ospanov,Ospanov_33963974_a
7,7,6,33963974,10.1007/s11695-021-05454-2,Oral Ospanov,2021,East Asian,60.0,Both,0.0,5.0,15.0,45.91,93.9,0.0,0.0,85.766,102.034,4.15,0.0,intervention,LMGB-OAGB,Ospanov,Ospanov_33963974_b
8,8,7,32805133,10.7326/M19-3781,Carlos A Schiavon,2020,EUR,100.0,Both,0.0,15.0,35.0,36.4,77.3,35.5,37.4,74.5,80.2,0.0,2.9,control,MT,Schiavon,Schiavon_32805133
9,9,8,32805133,10.7326/M19-3781,Carlos A Schiavon,2020,EUR,100.0,Both,0.0,9.0,41.0,37.4,77.6,32.696,42.104,74.7,80.5,0.0,2.4,intervention,RYGBplusMT,Schiavon,Schiavon_32805133
10,10,9,34981324,10.1007/s11695-021-05868-y,Moheb S Eskandaros ,2022,AFR,150.0,Both,0.0,20.0,37.0,45.3749,95.74,39.63974399999999,51.110056,78.17251999999999,113.30748,8.963,2.9261,control,L-RYGB,Eskandaros,Eskandaros_34981324
11,11,10,34981324,10.1007/s11695-021-05868-y,Moheb S Eskandaros ,2022,AFR,150.0,Both,0.0,22.0,42.0,46.25,93.47,41.3206,51.1794,77.9468,108.9932,7.92,2.515,intervention,S-RYGB,Eskandaros,Eskandaros_34981324
12,12,11,29133606,10.1161/CIRCULATIONAHA.117.032130,Carlos Aurelio Schiavon ,2018,Mixed,100.0,Both,0.0,9.0,41.0,37.4,77.6,32.696,42.104,63.879999999999995,91.32,7.0,2.4,intervention,RYGBplusMT,Schiavon,Schiavon_29133606
13,13,12,29133606,10.1161/CIRCULATIONAHA.117.032130,Carlos Aurelio Schiavon ,2018,Mixed,100.0,Both,0.0,15.0,35.0,36.4,78.0,30.715999999999998,42.083999999999996,59.772,96.22800000000001,9.3,2.9,control,MT,Schiavon,Schiavon_29133606
14,14,13,32540150,10.1016/j.soard.2020.04.033,Ville Wallenius ,2020,EUR,49.0,Both,0.0,13.0,12.0,39.5,86.8,32.248,46.752,70.336,103.264,8.4,3.7,intervention,RYGB,Wallenius,Wallenius_32540150
15,15,14,32540150,10.1016/j.soard.2020.04.033,Ville Wallenius ,2020,EUR,49.0,Both,0.0,13.0,11.0,40.8,83.2,32.763999999999996,48.836,58.7,107.7,12.5,4.1,control,SG,Wallenius,Wallenius_32540150
16,16,15,25919069, 10.1089/met.2014.0152,Fernando de Barros ,2015,Mixed,51.0,Both,0.0,2.0,23.0,45.62,90.0,32.8604,58.379599999999996,67.7148,112.2852,11.37,6.51,control,SG,Barros,Barros_25919069
17,17,16,25919069, 10.1089/met.2014.0152,Fernando de Barros ,2015,Mixed,51.0,Both,0.0,2.0,23.0,49.24,86.8,33.5796,64.9004,75.1772,98.4228,5.93,7.99,intervention,GB,Barros,Barros_25919069
18,18,17,34554379,10.1007/s11695-021-05702-5,Alan Robson,2021,EUR,75.0,Female,0.0,0.0,11.0,46.35,86.96,35.6484,57.0516,72.946,100.97399999999999,7.15,5.46,control,CG,Robson,Robson_34554379
19,19,18,34554379,10.1007/s11695-021-05702-5,Alan Robson,2021,EUR,75.0,Female,0.0,0.0,50.0,47.25,87.6,35.058800000000005,59.441199999999995,57.12199999999999,118.078,15.55,6.22,intervention,RYGB,Robson,Robson_34554379
20,20,19,23163735,10.1111/cen.12109,Juan Jesús Tur,2013,EUR,143.0,Both,0.0,17.0,43.0,45.79,86.83,36.0488,55.5312,67.2692,106.3908,9.98,4.97,control,ILI,Tur,Tur_23163735_a
